0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
Número,DATA,Placar,TIME_MANDANTE,PLACAR_MANDANTE,GOLS_MANDANTE,GOLS_PENALTI_MANDANTE,PLACAR2,TIME_VISITANTE,PLACAR_VISITANTE,GOLS_VISITANTE,GOLS_PENALTI_VISITANTE,RODADA,PUBLICO,CAMPEONATO_ID,CAMPEONATO_DESCRICAO,ESTADIO,SEM_TORCIDA,Gols,OBS,OBS2,
411,23/10/2016,Grêmio 0 x 0 Internacional,Grêmio,0,0,, 0 x 0 ,Internacional,0,0,,,,2016_BR,Brasileirão,Arena,,,,,
410,03/07/2016,Internacional 0 x 1 Grêmio,Internacional,0,0,, 0 x 1 ,Grêmio,1,1,,,,2016_BR,Campeonato Brasileiro,Beira-Rio,,Douglas,,,
409,06/03/2016,Grêmio 0 x 0 Internacional,Grêmio,0,0,, 0 x 0 ,Internacional,0,0,,,,2016_RS,Gauchão Ipiranga/Primeira Liga,Arena,,,Jogo foi válido por duas competições (Gauchão e Primeira Liga),,
408,22/11/2015,Internacional 1 x 0 Grêmio,Internacional,1,1,, 1 x 0 ,Grêmio,0,0,,,,2015_BR,Brasileirão,Beira-Rio,,Vitinho,,,
407,09/08/2015,Grêmio 5 x 0 Internacional,Grêmio,5,5,, 5 x 0 ,Internacional,0,0,,,,2015_BR,Campeonato Brasileiro,Arena,,"Giuliano, Luan (2), Fernandinho e Réver (contra).",,,
406,03/05/2015,Internacional 2 x 1 Grêmio,Internacional,2,2,, 2 x 1 ,Grêmio,1,1,,,,2015_RS,Gauchão,Beira-Rio,,Nilmar e Valdívia (I); Giuliano (G).,Inter foi pentacampeão gaúcho depois de 42 anos.,,
405,26/04/2015,Grêmio 0 x 0 Internacional,Grêmio,0,0,, 0 x 0 ,Internacional,0,0,,,,2015_RS,Gauchão,Arena,,,Primeiro jogo da final do Gauchão.,,
404,01/03/2015,Internacional 0 x 0 Grêmio,Internacional,0,0,, 0 x 0 ,Grêmio,0,0,,,,2015_RS,Gauchão,Beira-Rio,,,"Gre-Nal da Paz, marcado pelo setor de torcida mista no estádio.",,
403,09/11/2014,Grêmio 4 x 1 Internacional,Grêmio,4,4,, 4 x 1 ,Internacional,1,1,,,,2014_BR,Brasileirão,Arena,,"Luan, Ramiro e Alan Ruiz (G); Rafael Moura (I).",Inter tem interrompida invencibilidade de dois anos no clássico.,,
402,10/08/2014,Internacional 2 x 0 Grêmio,Internacional,2,2,, 2 x 0 ,Grêmio,0,0,,,,2014_BR,Brasileirão,Beira-Rio,,Charles Aránguiz e Cláudio Winck.,Primeiro clássico do novo Beira-Rio.,,
401,13/04/2014,Internacional 4 x 1 Grêmio,Internacional,4,4,, 4 x 1 ,Grêmio,1,1,,,,2014_RS,Gauchão,Centenário,,"Alex (2), Andrés D’Alessandro e Alan Patrick, de pênalti.",Inter conquistou o tetracampeonato gaúcho.,,
400,30/03/2014,Grêmio 1 x 2 Internacional,Grêmio,1,1,, 1 x 2 ,Internacional,2,2,,,,2014_RS,Gauchão,Arena,,"Hernán Barcos (G), Rafael Moura (I)(2).",,,
399,09/02/2014,Grêmio 1 x 1 Internacional,Grêmio,1,1,, 1 x 1 ,Internacional,1,1,,,,2014_RS,Gauchão,Arena,,"Fabrício (I) e Hernán Barcos (G), de pênalti.",,,
398,20/10/2013,Internacional 2 x 2 Grêmio,Internacional,2,2,, 2 x 2 ,Grêmio,2,2,,,15273,2013_BR,Brasileirão,Centenário,,"Willians e Andrés D’Alessandro, de pênalti (I); Jackson (contra) e Eduardo Vargas (G).",,,
397,04/08/2013,Grêmio 1 x 1 Internacional,Grêmio,1,1,, 1 x 1 ,Internacional,1,1,,,40054,2013_BR,Brasileirão,Arena,,"Leandro Damião (I); Hernán Barcos (G), de pênalti.",Primeiro Gre-Nal da história da Arena.,,
396,24/02/2013,Internacional 2 x 1 Grêmio,Internacional,2,2,, 2 x 1 ,Grêmio,1,1,,,,2013_RS,Gauchão,Centenário,,Diego Forlán e Rodrigo Moledo (I) e Willian José (G).,Vitória classificou o Inter à semifinal da Taça Piratini (1º turno do Gauchão).,,
395,03/02/2013,Internacional 2 x 1 Grêmio,Internacional,2,2,, 2 x 1 ,Grêmio,1,1,,,,2013_RS,Gauchão,Colosso da Lagoa,,Diego Forlán e Leandro Damião (I) e Fernando (G).,Estreia de Dunga como técnico em um Gre-Nal.,,
394,02/12/2012,Grêmio 0 x 0 Internacional,Grêmio,0,0,, 0 x 0 ,Internacional,0,0,,,46209,2012_BR,Brasileirão,Olímpico,,,Último jogo da história do Olímpico.,,
393,26/08/2012,Internacional 0 x 1 Grêmio,Internacional,0,0,, 0 x 1 ,Grêmio,1,1,,,,2012_BR,Brasileirão,Beira-Rio,,Elano,,,
392,29/04/2012,Internacional 2 x 1 Grêmio,Internacional,2,2,, 2 x 1 ,Grêmio,1,1,,,,2012_RS,Gauchão,Beira-Rio,,Jesús Dátolo e Fabrício (I); Werley (G).,Inter conquista título da Taça Farroupilha (2º turno).,,
391,22/02/2012,Internacional 1 x 2 Grêmio,Internacional,1,1,, 1 x 2 ,Grêmio,2,2,,,,2012_RS,Gauchão,Beira-Rio,,Léo Gago e Kléber (G) e Leandro Damião (I).,,,
390,05/02/2012,Grêmio 2 x 2 Internacional,Grêmio,2,2,, 2 x 2 ,Internacional,2,2,,,,2012_RS,Gauchão,Olímpico,,Jesús Dátolo e Bolívar (I); Marcelo Moreno e Marquinhos (G).,O Inter atuou com seu time reserva em função da disputa da Libertadores.,,
389,04/12/2011,Internacional 1 x 0 Grêmio,Internacional,1,1,, 1 x 0 ,Grêmio,0,0,,,,2011_BR,Brasileirão,Beira-Rio,,"Andrés D’Alessandro, de pênalti.",Vitória garantiu a classificação à Pré-Libertadores de 2012.,,
388,28/08/2011,Grêmio 2 x 1 Internacional,Grêmio,2,2,, 2 x 1 ,Internacional,1,1,,,,2011_BR,Brasileirão,Olímpico,,"Índio (I), Marquinhos e Douglas (G), de pênalti.",,,
387,15/05/2011,Grêmio 2(4) x (5)3 Internacional,Grêmio,2(4),2,4, 2(4) x (5)3 ,Internacional,(5)3,3,5,,,2011_RS,Gauchão,Olímpico,,"Leandro Damião, Andrezinho e Andrés D’Alessandro (I); Douglas e Borges (G).",Inter volta a erguer a taça estadual no Olímpico após 29 anos.,,
386,08/05/2011,Internacional 2 x 3 Grêmio,Internacional,2,2,, 2 x 3 ,Grêmio,3,3,,,,2011_RS,Gauchão,Beira-Rio,,"Andrezinho e Leando Damião (I); Júnior Viçosa, Leandro e Júnior Viçosa (G).",Primeiro jogo da final do Campeonato Gaúcho 2011,,
385,1º/05/2011,Internacional 1(4) x (2)1 Grêmio,Internacional,1(4),1,4, 1(4) x (2)1 ,Grêmio,(2)1,1,2,,,2011_RS,Gauchão,Beira-Rio,,Leandro Damião (I) e Junior Viçosa (G),Clássico decidiu o título da Taça Farroupilha (2º turno do Gauchão),,
384,30/01/2011,Grêmio 2 x 1 Internacional,Grêmio,2,2,, 2 x 1 ,Internacional,1,1,,,,2011_RS,Gauchão,"Atílio Paiva (Rivera, Uruguai)",,Guto (I); Bruno Collaço e Lins (G).,Primeiro clássico realizado fora do Brasil.,,
383,24/10/2010,Grêmio 2 x 2 Internacional,Grêmio,2,2,, 2 x 2 ,Internacional,2,2,,,45234,2010_BR,Brasileirão,Olímpico,,Alecsandro e Andrés D’Alessandro (I); André Lima e Fábio Santos (G).,Último clássico do árbitro Carlos Simon.,,
382,1º/08/2010,Internacional 0 x 0 Grêmio,Internacional,0,0,, 0 x 0 ,Grêmio,0,0,,,36240,2010_BR,Brasileirão,Beira-Rio,,,,,
381,02/05/2010,Grêmio 0 x 1 Internacional,Grêmio,0,0,, 0 x 1 ,Internacional,1,1,,,,2010_RS,Gauchão,Olímpico,,Giuliano,"Clássico decidiu o título do Gauchão, com o Grêmio sangrando-se campeão após dois anos consecutivos de conquistas do Inter.",,
380,25/04/2010,Internacional 0 x 2 Grêmio,Internacional,0,0,, 0 x 2 ,Grêmio,2,2,,,,2010_RS,Gauchão,Beira-Rio,,Rodrigo e Borges.,Primeiro clássico da decisão do título.,,
379,31/01/2010,Internacional 1 x 0 Grêmio,Internacional,1,1,, 1 x 0 ,Grêmio,0,0,,,,2010_RS,Gauchão,"Colosso da Lagoa, em Erechim",,Alecsandro (I).,Foi o primeiro Gre-Nal da temporada 2010.,,
378,25/10/2009,Internacional 1 x 0 Grêmio,Internacional,1,1,, 1 x 0 ,Grêmio,0,0,,,,2009_BR,Brasileirão,Beira-Rio,,Andrés D’Alessandro.,Foi a quarta vitória colorada em cinco clássicos disputados em 2009.,,
377,19/07/2009,Grêmio 2 x 1 Internacional,Grêmio,2,2,, 2 x 1 ,Internacional,1,1,,,,2009_BR,Brasileirão,Olímpico,,Nilmar (I); Souza e Maxi López (G).,A vitória quebrou uma invencibilidade de 7 jogos do Inter.,,
376,05/04/2009,Internacional 2 x 1 Grêmio,Internacional,2,2,, 2 x 1 ,Grêmio,1,1,,,,2009_RS,Taça Fábio Koff (Gauchão),Beira-Rio,,Tcheco (G); Andrezinho e Índio (I).,Primeiro Gre-Nal após a comemoração do Centenário.,,
375,1º/03/2009,Internacional 2 x 1 Grêmio,Internacional,2,2,, 2 x 1 ,Grêmio,1,1,,,,2009_RS,Gauchão – Taça Fernando Carvalho,Beira-Rio,,Índio e Magrão.,"A vitória garantiu a conquista da Taça Fernando Carvalho, equivalente ao primeiro turno do Gauchão.",,
374,08/02/2009,Grêmio 1 x 2 Internacional,Grêmio,1,1,, 1 x 2 ,Internacional,2,2,,,,2009_RS,Gaúcho,"Colosso da Lagoa, Erechim",,Andrés D’Alessandro e Nilmar.,Primeiro clássico no ano do Centenário do Inter.,,
373,28/09/2008,Internacional 4 x 1 Grêmio,Internacional,4,4,, 4 x 1 ,Grêmio,1,1,,,,2008_BR,Brasileirão,Beira-Rio,,"Andrés D’Alessandro, Alex, Índio e Nilmar (I); Tcheco (G).",Vitória colorado tira o Grêmio da liderança do campeonato. É a primeira vez na história do Beira-Rio que o Inter faz quatro gols no clássico.,,
